OG0003104_x00	GO:0005509,GO:0005737,GO:0090090
OG0007809_x00	GO:0005524,GO:0006298,GO:0030983,GO:0016887,GO:0032300,GO:0032389,GO:0140664,GO:0016446
OG0012185_x00	GO:0005515,GO:0016323,GO:0030054,GO:0043113,GO:0045197,GO:0045211,GO:0097120,GO:0098609,GO:0098887,GO:0098968,GO:0005912,GO:0009790,GO:0014069
OG0004212_x00	GO:0009611
OG0008917_x00	GO:0006886,GO:0034138,GO:0034154,GO:0034162,GO:0035325,GO:0002224,GO:0005764,GO:0005768
OG0005320_x00	GO:0006657,GO:0031210,GO:0004105,GO:0005783,GO:0003824,GO:0009058
OG0008091_x00	GO:0005515
OG0009349_x00	GO:0004519,GO:0006281,GO:0005737,GO:0016891,GO:0003727,GO:0005730
OG0004683_x00	GO:0005515,GO:0016593
OG0005791_x00	GO:0016020,GO:0005887
OG0001912_x01	GO:0016020
OG0000599_x00	GO:0006357,GO:0000978,GO:0000981,GO:0006355
OG0000599_x01	GO:0006355
OG0006303_x00	GO:0008028,GO:0016021,GO:0022857,GO:0055085
OG0007411_x00	GO:0003924,GO:0005525,GO:0005856,GO:0007163,GO:0007264,GO:0008045,GO:0008360,GO:0019901,GO:0030865,GO:0031410,GO:0032956,GO:0042995,GO:0043652
OG0011976_x00	GO:0003735,GO:0005840,GO:0006412,GO:0015935,GO:0032543,GO:0005763
OG0002219_x01	GO:0000398,GO:0003723,GO:0071013,GO:0003676,GO:0005524,GO:0003724
OG0003327_x00	GO:0060271,GO:0097729,GO:0003341,GO:0005929,GO:0044458
OG0004435_x00	GO:0003333,GO:0005774,GO:0015179
OG0006651_x00	GO:0017116,GO:0043139,GO:2000042
OG0007083_x00	GO:0004672,GO:0005524,GO:0006468,GO:0043539,GO:1902554,GO:0006611,GO:0032147
OG0001459_x01	GO:0071108,GO:0071944,GO:1990380,GO:0004843,GO:0005829,GO:0016807
OG0011728_x00	GO:0003755,GO:0005783,GO:0061077,GO:0000413
OG0003675_x00	GO:0000082,GO:0019901,GO:0045860,GO:0006511,GO:0031625
OG0008191_x00	GO:0005737,GO:0045765
OG0004783_x00	GO:0003676,GO:0003723,GO:0034456,GO:0000028,GO:0006364,GO:0032545
OG0005891_x00	GO:0006753,GO:0008768,GO:0019693,GO:0016818,GO:0046872
OG0004658_x00	GO:0004674,GO:0005515,GO:0005634,GO:0006468,GO:0000077,GO:0000723,GO:0016301
OG0006403_x00	GO:0005319,GO:0006869,GO:0032355,GO:0071391
OG0009174_x00	GO:0030018,GO:0031672,GO:0035508,GO:0004857,GO:0005737,GO:0019208,GO:0005515,GO:0007165,GO:0019901
OG0005766_x00	GO:0003713,GO:0005634,GO:0045893,GO:0006355,GO:0008270
OG0007511_x00	GO:0005515
OG0001061_x01	GO:0005515,GO:0004672,GO:0005524,GO:0006468,GO:0004709,GO:0005737,GO:0007165
OG0006874_x00	GO:0005615,GO:0005737
OG0007982_x00	GO:0004742,GO:0006090,GO:0045254,GO:0006086,GO:0005967,GO:0016746
OG0006198_x00	GO:0007186,GO:0016020,GO:0004930,GO:0005887
OG0011330_x00	GO:0005515,GO:0060271
OG0003898_x00	GO:0005794,GO:0035269,GO:0120053
OG0009602_x00	GO:0007165,GO:0001965,GO:0008017,GO:0008277,GO:0030695,GO:0005737,GO:0005886,GO:0007051,GO:0051301,GO:0005096,GO:0005634
OG0010570_x00	GO:0006506,GO:0016757,GO:0000026,GO:0000030,GO:0005789
OG0005518_x00	GO:0005515,GO:0005856,GO:0005546,GO:0043197
OG0006626_x00	GO:0005634,GO:0016607,GO:0043484,GO:0002151,GO:0010468
OG0007734_x00	GO:0003676,GO:0005524
OG0008842_x00	GO:0005634,GO:0006357,GO:0000978,GO:0000981,GO:0002376,GO:0000976,GO:0003700,GO:0006355
OG0001284_x01	GO:0005509,GO:0030424,GO:0043025,GO:0050808,GO:0005886,GO:0007156,GO:0008046
OG0007058_x00	GO:0015267,GO:0016020,GO:0055085,GO:0005737
OG0008166_x00	GO:0003676,GO:0004527,GO:0000956,GO:0008409
OG0009950_x00	GO:0005634
OG0002392_x01	GO:0000981,GO:0006355,GO:0003677,GO:0006357,GO:0000977,GO:0005634
OG0004758_x00	GO:0004867,GO:0005515,GO:0030198,GO:0060429,GO:0005886,GO:0008544
OG0005866_x00	GO:0006508,GO:0008234,GO:0006955,GO:0008656,GO:0010952,GO:0051603,GO:2001235,GO:0004197,GO:0005615,GO:0005764
OG0006974_x00	GO:0005540,GO:0016020
OG0004012_x00	GO:0004620,GO:0009395,GO:0005509,GO:0005829,GO:0031982,GO:0032587,GO:0046475,GO:0047498,GO:0004623,GO:0005544
OG0009149_x00	GO:0000287,GO:0008897,GO:0005829,GO:0019878
OG0000604_x01	GO:0005524,GO:0004672,GO:0006468,GO:0004674,GO:0018107,GO:0031032,GO:0042641,GO:0005737,GO:0005856
OG0001712_x00	GO:0001669,GO:0005634
OG0010793_x00	GO:0002088,GO:0005212,GO:0007601
OG0001712_x01	GO:0001669,GO:0005634
OG0001036_x00	GO:0005764,GO:0009267,GO:0010507,GO:1990131,GO:0003924,GO:0005525,GO:0005634
OG0001036_x01	GO:0005764,GO:0009267,GO:0010507,GO:1990131,GO:0003924,GO:0005525,GO:0005634
OG0006849_x00	GO:0005515,GO:0034388,GO:0030490,GO:0030515,GO:0032040
OG0002144_x00	GO:0005515,GO:0051260
OG0011305_x00	GO:0003700,GO:0006355,GO:0006351,GO:0006357,GO:0045595,GO:0000978,GO:0000981
OG0003252_x00	GO:0005615,GO:0030141,GO:2001032
OG0008389_x00	GO:0071513,GO:0004633,GO:0010181,GO:0015937,GO:0003824
OG0000952_x00	GO:0005085,GO:0007264,GO:0046982,GO:0007265,GO:0043547,GO:0005886
OG0009497_x00	GO:0019903,GO:0062030,GO:2001244,GO:0001691,GO:0004864,GO:0005739,GO:0006470,GO:0008138,GO:0016311
OG0000952_x01	GO:0046982,GO:0005085,GO:0007264,GO:0007265,GO:0043547,GO:0005886
OG0000276_x00	GO:0006886,GO:0031267,GO:0070382,GO:0005886,GO:0006887,GO:0042043
OG0001384_x00	GO:0005634,GO:0005667,GO:0005912,GO:0006355,GO:0007010,GO:0035331,GO:2000637,GO:0000932,GO:0001666,GO:0003714
OG0000276_x01	GO:0070382,GO:0005886,GO:0006887,GO:0042043
OG0001384_x01	GO:0005634,GO:0005667,GO:0005912,GO:0006355,GO:0007010,GO:0035331,GO:2000637,GO:0000932,GO:0001666,GO:0003714
OG0002492_x00	GO:0005524,GO:0006139,GO:0019205,GO:0005737,GO:0006165,GO:0004127,GO:0004550
OG0011653_x00	GO:0016020
OG0001259_x00	GO:0005515,GO:0007169,GO:0009898
OG0007709_x00	GO:0005515,GO:0043495,GO:0071562
OG0003004_x00	GO:0005515
OG0008817_x00	GO:0005515
OG0001259_x01	GO:0005515,GO:0007169,GO:0009898
OG0009925_x00	GO:0003333,GO:0005774,GO:0015179
OG0000704_x00	GO:0061630,GO:0000209,GO:0008592,GO:0005515
OG0003475_x00	GO:0005515,GO:0005815,GO:0030036,GO:0031941
OG0004583_x00	GO:0005506,GO:0045329,GO:0050353,GO:0016491,GO:0005739
OG0001812_x00	GO:0000922,GO:0005634,GO:0008017,GO:0010389,GO:0051310,GO:0070840,GO:0000278,GO:0000775,GO:0008134,GO:0042803
OG0000704_x01	GO:0061630,GO:0070936,GO:0000209,GO:0008592,GO:0005515
OG0002920_x00	GO:0008083,GO:0005125,GO:0005576,GO:0005615
OG0005691_x00	GO:0005576,GO:0005520,GO:0043567,GO:0005615,GO:0031994,GO:0031995
OG0010768_x00	GO:0006520,GO:0030170,GO:0018114,GO:0030378,GO:0070179,GO:0000287,GO:0003941,GO:0005524
OG0011876_x00	GO:0005739
OG0007311_x00	GO:0019203,GO:0016311,GO:0006470,GO:0008138,GO:0005737,GO:0004725,GO:0005634
OG0002119_x00	GO:0051901,GO:0090200,GO:0097190,GO:0005654,GO:0005829,GO:0045893
OG0003227_x00	GO:0005515,GO:0005615
OG0004335_x00	GO:0016266,GO:0030173,GO:0047223,GO:0006486,GO:0008375
OG0005443_x00	GO:0000398,GO:0003723,GO:0005688,GO:0033962,GO:0046540,GO:0071011,GO:0071013,GO:1990726,GO:0000932
OG0000927_x00	GO:0005515,GO:0000932,GO:0005829,GO:0022008
OG0006551_x00	GO:0004185,GO:0006508
OG0000927_x01	GO:0005515,GO:0000932,GO:0005829,GO:0022008
OG0002467_x00	GO:0055085,GO:0005216,GO:0006811,GO:0016020,GO:0032224,GO:0032230,GO:0005261,GO:0005886
OG0001359_x01	GO:0005778,GO:0016559
OG0003575_x00	GO:0016887,GO:0008568,GO:0140603,GO:0005524
OG0004558_x00	GO:0003676,GO:0008270
OG0005666_x00	GO:0022857,GO:0055085,GO:0008506,GO:0016020
OG0006774_x00	GO:0061630,GO:0070936,GO:1902042,GO:2001271,GO:0005737,GO:0005886,GO:0043161
OG0010122_x00	GO:0006357,GO:0000978,GO:0000981,GO:0005634,GO:0046983
OG0006098_x00	GO:0005886
OG0007882_x00	GO:0005814
OG0008990_x00	GO:0030488,GO:0031515,GO:0160107,GO:0070901,GO:0005739
OG0003798_x00	GO:0008168,GO:0003676,GO:0032259,GO:0006479,GO:0008276,GO:0005739
OG0009502_x00	GO:0005515,GO:0004843,GO:0016579,GO:0031647,GO:0032183,GO:0005634,GO:0005829
OG0005418_x00	GO:0005515,GO:0005615
OG0006526_x00	GO:0030246,GO:0005634,GO:0005737,GO:0019863,GO:0030593,GO:0043236,GO:0045806,GO:0048245,GO:0048246,GO:0050918,GO:0062023,GO:0090280,GO:0001772,GO:2001237,GO:0002548,GO:0005615
OG0000076_x00	GO:0045095,GO:0045109,GO:0005198,GO:0005856,GO:0030855
OG0000076_x01	GO:0045095,GO:0045109,GO:0005198,GO:0005856,GO:0030855
OG0007634_x00	GO:0005179,GO:0005576,GO:0005615
OG0008742_x00	GO:0006325,GO:0006335,GO:0006336,GO:0042393,GO:0000790,GO:0005634
OG0001184_x01	GO:0007165,GO:0007601,GO:0001664,GO:0002031
OG0009850_x00	GO:0005337,GO:0016020,GO:1901642,GO:0015862,GO:0005886
OG0008617_x00	GO:0016573,GO:0031509,GO:0004402,GO:0005634,GO:0010485,GO:0006325,GO:0042393
OG0000504_x00	GO:0016020,GO:0005524,GO:0006813,GO:0008281,GO:0140359,GO:0055085,GO:0016887,GO:0042626
OG0009725_x00	GO:0005515
OG0005020_x00	GO:0005515,GO:0016279,GO:0018023,GO:0018026
OG0009049_x00	GO:0098742,GO:0004888,GO:0005887,GO:0007166
OG0010693_x00	GO:0005515
OG0001612_x01	GO:0004672,GO:0005524,GO:0006468,GO:0004674,GO:0005737,GO:0035556
