Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
species_tree_concat.fa	Acaru	237116	14208	5.992	14312	5099	10888	15106	9025	13022	5830	11560	14140	21592	5245	9228	12085	10119	11272	18550	12000	14214	2692	6929	0	0	0	0	0	0	7502	6706
species_tree_concat.fa	Acgen	237116	174	0.073	15012	5396	11658	16204	9541	13661	6177	12425	15100	22770	5686	10045	12647	10672	12088	19682	12844	15072	2807	7455	0	0	0	0	0	0	174	0
species_tree_concat.fa	Aecau	237116	10183	4.295	14784	5210	11075	15406	9182	13258	5908	11646	14424	22029	5349	9371	12318	10276	11585	18770	12071	14454	2741	7076	0	0	0	3	0	0	8371	1809
species_tree_concat.fa	Agpho	237116	2476	1.044	15422	5353	11451	16072	9380	13726	6152	11988	14837	22788	5509	9591	12879	10671	12074	19466	12404	14857	2775	7245	0	0	0	0	0	0	827	1649
species_tree_concat.fa	Aigal	237116	8598	3.626	14818	5092	11325	15677	9146	13083	5972	11781	14583	22011	5445	9623	12395	10287	11598	18823	12478	14554	2694	7133	0	0	0	0	0	0	8598	0
species_tree_concat.fa	Allat	237116	10156	4.283	14958	5175	11079	15409	9169	13192	5852	11545	14399	21958	5373	9399	12273	10259	11698	18620	12160	14619	2679	7144	0	0	0	10	0	0	8705	1441
species_tree_concat.fa	Altor	237116	9634	4.063	14394	5163	11184	15508	9250	13101	5865	11889	14574	21913	5455	9619	12154	10215	11611	18810	12360	14526	2711	7180	0	0	0	4	0	0	6537	3093
species_tree_concat.fa	Amaes	237116	8551	3.606	14566	5167	11286	15639	9155	13181	5997	11911	14593	22055	5494	9609	12174	10307	11602	18910	12420	14595	2704	7200	0	0	0	729	0	0	7822	0
species_tree_concat.fa	Amgui	237116	5537	2.335	14728	5284	11382	15783	9325	13309	6086	12108	14751	22313	5528	9759	12323	10458	11792	19197	12580	14811	2763	7299	0	0	0	1	0	0	5536	0
species_tree_concat.fa	Ananh	237116	10572	4.459	14312	5208	11080	15383	9204	13072	5903	11960	14350	21845	5397	9576	12188	10269	11376	18761	12350	14409	2693	7208	0	0	0	7	0	0	7788	2777
species_tree_concat.fa	Ancar	237116	14081	5.938	13973	5053	11017	15218	9038	12818	5806	11736	14309	21410	5350	9503	11814	10054	11314	18488	12205	14207	2639	7083	0	0	0	193	0	0	11729	2159
species_tree_concat.fa	Anpla	237116	684	0.288	15239	5367	11640	16193	9507	13691	6129	12235	15079	22782	5624	9969	12722	10684	12033	19442	12882	15012	2783	7419	0	0	0	0	0	0	581	103
species_tree_concat.fa	Anzon	237116	4144	1.748	14985	5332	11458	15876	9374	13487	6044	12043	14829	22437	5546	9781	12564	10534	11884	19194	12691	14840	2766	7307	0	0	0	27	0	0	4117	0
species_tree_concat.fa	Apapu	237116	240	0.101	15115	5412	11641	16214	9515	13721	6179	12276	15023	22893	5646	9878	12714	10740	12115	19677	12851	15049	2813	7404	0	0	0	0	0	0	240	0
species_tree_concat.fa	Apcoe	237116	6395	2.697	14862	5290	11308	15718	9327	13402	6045	11911	14654	22308	5456	9580	12548	10451	11755	19111	12385	14668	2769	7173	0	0	0	0	0	0	5594	801
