#clustering method	cluster number	cluster color	hex color	gene count	protein name	protein identifier	protein description
kmeans	1	Red	#ff0000	15	OG0000088_x03	425635.ENSCPGP00000019826	LYN proto-oncogene, Src family tyrosine kinase.
kmeans	1	Red	#ff0000	15	OG0000287_x01	425635.ENSCPGP00000027400	Plexin A2.
kmeans	1	Red	#ff0000	15	OG0000414_x01	425635.ENSCPGP00000012207	Fibroblast growth factor receptor 1.
kmeans	1	Red	#ff0000	15	OG0000952_x01	425635.ENSCPGP00000000291	SOS Ras/Rho guanine nucleotide exchange factor 2.
kmeans	1	Red	#ff0000	15	OG0001757_x01	425635.ENSCPGP00000015194	Inositol polyphosphate-5-phosphatase D.
kmeans	1	Red	#ff0000	15	OG0001971_x00	425635.ENSCPGP00000015785	annotation not available
kmeans	1	Red	#ff0000	15	OG0002976_x00	425635.ENSCPGP00000015309	annotation not available
kmeans	1	Red	#ff0000	15	OG0005235_x00	425635.ENSCPGP00000015539	Sprouty RTK signaling antagonist 4.
kmeans	1	Red	#ff0000	15	OG0006015_x00	425635.ENSCPGP00000017945	Cbl proto-oncogene B.
kmeans	1	Red	#ff0000	15	OG0007295_x00	425635.ENSCPGP00000022219	Clathrin interactor 1.
kmeans	1	Red	#ff0000	15	OG0007486_x00	425635.ENSCPGP00000019933	Insulin receptor.
kmeans	1	Red	#ff0000	15	OG0007645_x00	425635.ENSCPGP00000014489	Src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites.
kmeans	1	Red	#ff0000	15	OG0007723_x00	425635.ENSCPGP00000023078	Synergin gamma.
kmeans	1	Red	#ff0000	15	OG0009783_x00	425635.ENSCPGP00000025122	Phospholipase C gamma 2.
kmeans	1	Red	#ff0000	15	OG0011602_x00	425635.ENSCPGP00000008645	Suppressor of cytokine signaling 7.
kmeans	2	Brown	#ffa865	10	OG0000621_x00	425635.ENSCPGP00000003556	Serine palmitoyltransferase long chain base subunit 2.
kmeans	2	Brown	#ffa865	10	OG0000999_x00	425635.ENSCPGP00000014526	annotation not available
kmeans	2	Brown	#ffa865	10	OG0001935_x00	425635.ENSCPGP00000024965	annotation not available
kmeans	2	Brown	#ffa865	10	OG0002888_x00	425635.ENSCPGP00000019235	Cystathionine gamma-lyase.
kmeans	2	Brown	#ffa865	10	OG0006354_x00	425635.ENSCPGP00000013530	Aminoacyl tRNA synthetase complex interacting multifunctional protein 1.
kmeans	2	Brown	#ffa865	10	OG0007374_x00	425635.ENSCPGP00000009804	Amidohydrolase domain containing 1.
kmeans	2	Brown	#ffa865	10	OG0007557_x00	425635.ENSCPGP00000013021	Kynurenine 3-monooxygenase.
kmeans	2	Brown	#ffa865	10	OG0007621_x00	425635.ENSCPGP00000026636	Coenzyme Q5, methyltransferase.
kmeans	2	Brown	#ffa865	10	OG0008156_x00	425635.ENSCPGP00000013694	Selenocysteine lyase.
kmeans	2	Brown	#ffa865	10	OG0008343_x00	425635.ENSCPGP00000007565	3-ketodihydrosphingosine reductase.
kmeans	3	Dark Golden Rod	#b29b00	10	OG0000775_x00	425635.ENSCPGP00000003204	Ferredoxin 1.
kmeans	3	Dark Golden Rod	#b29b00	10	OG0001274_x01	425635.ENSCPGP00000001808	Serine hydroxymethyltransferase 1.
kmeans	3	Dark Golden Rod	#b29b00	10	OG0003866_x00	425635.ENSCPGP00000023349	Phosphoglucomutase 2 like 1.
